REPORTING_PERIOD_START,REPORTING_PERIOD_END,GROUP_TYPE,ORG_CODE1,ORG_NAME1,ORG_CODE2,ORG_NAME2,MEASURE_ID,MEASURE_NAME,MEASURE_VALUE_SUPPRESSED
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M192,Percentage_Recovery,49.4
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M193,Count_ReliableRecovery,26033
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M195,Percentage_ReliableRecovery,46.5
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M196,Count_FirstADSMOrGADOnly,714
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M197,Count_NoADSMOrGAD,120
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M198,Count_PairedADSMOrGAD,58542
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M199,Count_FirstPHQOnly,711
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M200,Count_NoPHQ,117
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M201,Count_PairedPHQ,58548
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M202,Count_PairedPHQAndADSMOrGAD,58526
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M203,Count_ADSMFinishedTreatment,9047
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M204,Count_AppropriatePairedADSM,5905
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M205,Percentage_AppropriatePairedADSM,65.3
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M212,Count_WSASWPairedScores,46581
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M213,Mean_FirstWSASW,3.8
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M214,Median_FirstWSASW,4
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M215,Mean_LastWSASW,2.8
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M216,Median_LastWSASW,2
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M217,Count_WSASHMPairedScores,56359
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M218,Mean_FirstWSASHM,3.5
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M219,Median_FirstWSASHM,4
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M220,Mean_LastWSASHM,2.6
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M221,Median_LastWSASHM,2
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M222,Count_WSASSLAPairedScores,56356
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M223,Mean_FirstWSASSLA,4.2
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M224,Median_FirstWSASSLA,4
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M225,Mean_LastWSASSLA,2.9
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M226,Median_LastWSASSLA,2
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M227,Count_WSASPLAPairedScores,56350
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M228,Mean_FirstWSASPLA,3.5
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M229,Median_FirstWSASPLA,3
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M230,Mean_LastWSASPLA,2.5
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M231,Median_LastWSASPLA,2
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M232,Count_WSASRPairedScores,56353
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M233,Mean_FirstWSASR,3.6
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M234,Median_FirstWSASR,4
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M235,Mean_LastWSASR,2.6
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M236,Median_LastWSASR,2
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M271,Count_FirstIntegratedContact,15982
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M272,Count_FirstIntegratedTreatment,15581
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M273,Count_FinishedIntegratedReferrals,9571
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M274,Count_FinishedIntegratedReferralsCoreOnly,49805
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M275,Count_IntegratedReferralsAtCaseness,8988
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M276,Count_IntegratedReferralsNotAtCaseness,517
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M277,Count_IntegratedReferralsRecovered,4416
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M278,Percentage_IntegratedReferralsRecovered,48.8
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M283,Count_IntegratedReferralsCoreOnlyAtCaseness,46912
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M284,Count_IntegratedReferralsCoreOnlyNotAtCaseness,2842
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M285,Count_IntegratedReferralsCoreOnlyRecovered,23254
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M286,Percentage_IntegratedReferralsCoreOnlyRecovered,49.5
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M287,Count_MHDropInReferrals,10
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M340,Count_EndedIncompleteAssessment,5190
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M341,Count_EndedBeforePatientRequested,1422
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M342,Count_EndedNotAssessed,20652
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M343,Count_InternetEnabledTherapySessions,59772
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M344,Count_EndedBeforeCareProfessionalPlanned,27988
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M345,Count_MaternityServiceReferrals,188
01/08/2022,31/08/2022,England,all,all CCGs,all,all Providers,M346,Count_CommunitySignpostingAppts,592
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M001,Count_ReferralsReceived,115
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M002,Count_SelfReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M003,Count_GPReferrals,25
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M004,Count_HealthVisitorReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M005,Count_OtherPrimaryCareReferrals,90
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M006,Count_CarerReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M007,Count_LAReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M008,Count_EmployerReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M009,Count_JusticeSystemReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M010,Count_ChildHealthReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M011,Count_IndependentVoluntaryReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M012,Count_SecondaryCareReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M013,Count_OtherMHReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M014,Count_InternalReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M017,Count_OtherReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M018,Count_IAPTReferrals,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M019,Count_OpenReferralNoActivity60days,125
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M020,Count_OpenReferralNoActivity61to90days,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M021,Count_OpenReferralNoActivity91to120days,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M022,Count_OpenReferralNoActivityOver120days,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M023,Count_FirstAssessment,50
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M024,Count_FirstAssessment28days,10
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M025,Count_FirstAssessment29to56days,15
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M026,Count_FirstAssessment57to90days,20
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M027,Count_FirstAssessmentOver90days,10
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M028,Count_EndedBeforeAssessment,35
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M029,Count_WaitingForAssessment,365
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M030,Count_WaitingForAssessmentOver90days,80
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M031,Count_FirstTreatment,60
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M032,Count_FirstTreatment28days,10
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M033,Count_FirstTreatment29to56days,15
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M034,Count_FirstTreatment57to90days,20
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M035,Count_FirstTreatmentOver90days,10
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M036,Count_FirstTreatment6Weeks,20
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M037,Count_FirstTreatment18Weeks,50
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M038,Count_WaitingForTreatment,350
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M039,Count_WaitingForTreatment0to2weeks,40
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M040,Count_WaitingForTreatment0to4weeks,95
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M041,Count_WaitingForTreatment0to6weeks,170
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M042,Count_WaitingForTreatment0to12weeks,280
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M043,Count_WaitingForTreatment0to18weeks,300
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M044,Count_WaitingForTreatmentOver18weeks,50
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M045,Count_WaitingForTreatmentOver90days,70
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M046,Count_FirstToSecondTreatmentOver28days,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M047,Count_FirstToSecondTreatmentOver90days,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M048,Mean_WaitEnteredTreatment,79.4
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M049,Median_WaitEnteredTreatment,58
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M050,Mean_WaitFinishedCourseTreatment,74
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M051,Median_WaitFinishedCourseTreatment,27
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M052,Count_FirstTreatment6WeeksFinishedCourseTreatment,25
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,59
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M054,Count_FirstTreatment18WeeksFinishedCourseTreatment,35
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M055,Percentage_FirstTreatment18WeeksFinishedCourseTreatment,78
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M056,Count_EndedReferrals,70
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M057,Count_EndedNotSuitable,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M058,Count_EndedSignposted,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M059,Count_EndedMutualAgreement,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M060,Count_EndedReferredElsewhere,*
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M061,Count_EndedDeclined,25
01/08/2022,31/08/2022,Provider,all,all CCGs,8EJ83,PEACE HOSPICE,M062,Count_EndedDeceasedAssessedOnly,*
